,h3_index,n0,n1,n2,n3,n4,n5,waterbody_dist,waterway_dist,road_dist,hydro,index,theo_turbines,theo_pv,index_right_renamed,country,Vientiane road construction costs,Vientiane trucking transport and conversion costs,Vientiane trucking state,Vientiane pipeline transport and conversion costs,Vientiane trucking solar capacity,Vientiane trucking wind capacity,Vientiane trucking hydro capacity,Vientiane trucking electrolyzer capacity,Vientiane trucking battery capacity,Vientiane trucking H2 storage capacity,Vientiane trucking production cost,Ocean water costs,Freshwater costs,Lowest water cost,Vientiane trucking total cost,geometry,Vientiane trucking battery costs,Vientiane LCOH - trucking battery costs portion,Vientiane trucking electrolyzer costs,Vientiane LCOH - trucking electrolyzer portion,Vientiane trucking H2 storage costs,Vientiane LCOH - trucking H2 storage portion,Vientiane trucking wind costs,Vientiane LCOH - trucking wind portion,Vientiane trucking solar costs,Vientiane LCOH - trucking solar portion,Vientiane trucking hydro costs,Vientiane LCOH - trucking hydro portion
0,85414d57fffffff,135,563,738,590,661,392,0.0,0.0,0.0,10.5,0,221.0,2044.0,92,Laos,0.0,0.3470728339651986,NH3,0.8415648684913494,348.563433581077,0.0,0.0,46.07611425924439,643.4763945685219,517.3181725369388,8.197839963458133,0.009849,0.005691,0.005691,8.550603797423332,"POLYGON ((103.46453415731271 19.04273848615606, 103.44104201809543 19.134827909727342, 103.34485783048741 19.16330743869943, 103.272190176572 19.099668508974013, 103.29574655634124 19.007551711053523, 103.39190643925204 18.979101163936935, 103.46453415731271 19.04273848615606))",12282155.576601492,2.154764136245876,2976645.7005272857,0.5222185439521554,1389490.3521950326,0.2437702372271987,0.0,0.0,30051523.506511793,5.272197106405578,0.0,0.0
1,85416b53fffffff,110,602,549,45,705,929,0.0,0.0,0.0,,1,53.0,367.0,92,Laos,0.0,0.3763123563164525,NH3,1.0089688248786177,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((104.46562449030709 18.230857510365563, 104.44259708776852 18.32321885214335, 104.34718713024516 18.352094834495773, 104.27482562486274 18.288575767012986, 104.29791884388544 18.19618327223959, 104.39330783507414 18.16734094692448, 104.46562449030709 18.230857510365563))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,85414c07fffffff,408,496,244,234,603,473,11.131949,0.0,0.0,,2,86.0,1304.0,94,Other,0.0,0.38175319889280396,NH3,1.0755941001454836,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((104.25779104913194 19.060768384375073, 104.23461679535319 19.152786942433426, 104.13883692573269 19.181629419571372, 104.06625314617358 19.11842167438019, 104.08949318256275 19.026372483571347, 104.18525130107768 18.997561619020775, 104.25779104913194 19.060768384375073))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,85414c07fffffff,408,496,244,234,603,473,11.131949,0.0,0.0,,2,86.0,1304.0,92,Laos,0.0,0.38175319889280396,NH3,1.0755941001454836,364.4003556334914,0.0,0.0,47.971562671337665,605.4823196434974,1196.2292407332982,8.651822663436901,0.009849,0.005691,0.005691,9.039266862329706,"POLYGON ((104.25779104913194 19.060768384375073, 104.23461679535319 19.152786942433426, 104.13883692573269 19.181629419571372, 104.06625314617358 19.11842167438019, 104.08949318256275 19.026372483571347, 104.18525130107768 18.997561619020775, 104.25779104913194 19.060768384375073))",11556955.48665707,2.027536050290714,3099096.9631203916,0.5437012216000687,3213011.019623174,0.5636861437935393,0.0,0.0,31416909.51513403,5.511738511427023,0.0,0.0
4,8541496bfffffff,388,90,804,750,619,671,11.131949,0.0,0.0,,3,232.0,2394.0,92,Laos,0.0,0.3997629873322675,NH3,1.2961311025378406,320.26730067449387,35.90694887643149,0.0,82.15578001935239,319.0423941705439,676.5437622094942,8.260098774119722,0.009849,0.005691,0.005691,8.665552761451991,"POLYGON ((102.26097235524003 20.243631533495652, 102.23691715540762 20.33517132182632, 102.13979963856569 20.363087480750554, 102.0667658012852 20.299440708995046, 102.0908832373495 20.207877959955113, 102.18797237206779 20.179984887561115, 102.26097235524003 20.243631533495652))",6089622.484693593,1.068354821876069,5307492.90168292,0.931139105558407,1817162.2037126457,0.31880038661625365,6228238.99488094,1.0926735078738492,27611962.091680333,4.844203875733392,0.0,0.0
5,85414b53fffffff,536,271,380,193,0,0,22.263898,0.0,0.0,,4,64.0,884.0,94,Other,0.0,0.4418673882197806,NH3,1.6210705990046057,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((103.13781329608486 21.001661467487885, 103.11404023777558 21.092749193380257, 103.01707847398073 21.12110634647957, 102.9439155450863 21.058350811430984, 102.96775300523103 20.967236369084052, 103.06468908584779 20.93890412350282, 103.13781329608486 21.001661467487885))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,85414b53fffffff,536,271,380,193,0,0,22.263898,0.0,0.0,,4,64.0,884.0,92,Laos,0.0,0.4418673882197806,NH3,1.6210705990046057,318.81267677859154,45.41659351680766,0.0,99.87476851442813,195.1440719721677,1188.9391069422113,8.555042707622562,0.009849,0.005691,0.005691,9.002601095842342,"POLYGON ((103.13781329608486 21.001661467487885, 103.11404023777558 21.092749193380257, 103.01707847398073 21.12110634647957, 102.9439155450863 21.058350811430984, 102.96775300523103 20.967236369084052, 103.06468908584779 20.93890412350282, 103.13781329608486 21.001661467487885))",3724751.7889460907,0.6534652261308931,6452189.058672277,1.1319629927495223,3193430.090309884,0.5602508930368217,7877734.188150548,1.3820586295000963,27486551.1621639,4.822201958274368,0.0,0.0
7,85416b67fffffff,883,467,433,505,906,0,0.0,0.0,0.0,,5,601.0,2270.0,92,Laos,0.0,0.33770324380608785,NH3,0.7268305208736181,318.8126767785914,45.41659351680768,0.0,99.87476851442815,195.1440719721677,1188.9391069422145,8.555042707622563,0.009849,0.005691,0.005691,8.898436951428652,"POLYGON ((103.72432614459005 18.368422070158395, 103.70098863750367 18.46079333903107, 103.60514409597941 18.489356527151195, 103.53266051504848 18.42551746882218, 103.55606249333941 18.33311805427139, 103.65188366906361 18.304585791148348, 103.72432614459005 18.368422070158395))",3724751.7889460907,0.6534652261308931,6452189.058672279,1.1319629927495227,3193430.0903098923,0.5602508930368232,7877734.188150552,1.382058629500097,27486551.162163887,4.822201958274366,0.0,0.0
8,854168dbfffffff,60,565,256,404,874,93,11.131949,0.0,0.0,,6,952.0,3873.0,92,Laos,0.0,0.43177309267803504,NH3,1.4974619465475303,334.94537530734533,48.65689868751141,0.0,62.54512405070009,457.6100874464859,550.0944965139566,9.052737557468951,0.009849,0.005691,0.005691,9.490201650146988,"POLYGON ((105.52427574727345 17.136541271161747, 105.5017672297386 17.229187947470916, 105.40730325578798 17.258382998757913, 105.33536531387875 17.194892307475403, 105.35794104402771 17.102210593855542, 105.45238757954839 17.073054560390435, 105.52427574727345 17.136541271161747))",8734490.239084365,1.532366708611292,4040589.7412911584,0.7088753932089752,1477525.8946604058,0.25921506923866766,8439781.247312907,1.4806633767215627,28877437.64752882,5.066217131145407,0.0,0.0
9,8564b047fffffff,755,908,667,0,0,0,0.0,0.0,0.0,,7,69.0,212.0,91,Other,0.0,0.33165529413497463,NH3,0.6527709784436525,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.82088245611801 17.81263913259082, 101.79684921014682 17.90534717732523, 101.70031017485364 17.933040934619232, 101.62783380964 17.868001566429445, 101.65192737507462 17.775273638998726, 101.748437083902 17.74760490690724, 101.82088245611801 17.81263913259082))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
