,h3_index,n0,n1,n2,n3,n4,n5,waterbody_dist,waterway_dist,road_dist,hydro,index,theo_turbines,theo_pv,index_right_renamed,country,Vientiane road construction costs,Vientiane trucking transport and conversion costs,Vientiane trucking state,Vientiane pipeline transport and conversion costs,Vientiane trucking solar capacity,Vientiane trucking wind capacity,Vientiane trucking hydro capacity,Vientiane trucking electrolyzer capacity,Vientiane trucking battery capacity,Vientiane trucking H2 storage capacity,Vientiane trucking production cost,Vientiane pipeline solar capacity,Vientiane pipeline wind capacity,Vientiane pipeline hydro capacity,Vientiane pipeline electrolyzer capacity,Vientiane pipeline battery capacity,Vientiane pipeline H2 storage capacity,Vientiane pipeline production cost,Ocean water costs,Freshwater costs,Lowest water cost,Vientiane trucking total cost,geometry,Vientiane pipeline battery costs,Vientiane LCOH - pipeline battery costs portion,Vientiane trucking battery costs,Vientiane LCOH - trucking battery costs portion,Vientiane pipeline electrolyzer costs,Vientiane LCOH - pipeline electrolyzer portion,Vientiane trucking electrolyzer costs,Vientiane LCOH - trucking electrolyzer portion,Vientiane pipeline H2 storage costs,Vientiane LCOH - pipeline H2 storage portion,Vientiane trucking H2 storage costs,Vientiane LCOH - trucking H2 storage portion,Vientiane pipeline wind costs,Vientiane LCOH - pipeline wind portion,Vientiane trucking wind costs,Vientiane LCOH - trucking wind portion,Vientiane pipeline solar costs,Vientiane LCOH - pipeline solar portion,Vientiane trucking solar costs,Vientiane LCOH - trucking solar portion,Vientiane pipeline hydro costs,Vientiane LCOH - pipeline hydro portion,Vientiane trucking hydro costs,Vientiane LCOH - trucking hydro portion
0,856496cbfffffff,803,169,232,86,487,551,0.0,0.0,0.0,,0,221.0,1776.0,92,Laos,0.0,0.4304885672551819,NH3,1.4817324232827231,343.3481584338297,0.0,0.0,116.18859371201921,131.52811866710246,846.1992764328779,9.733792915369781,340.3603268415021,0.0,0.0,115.22812014203257,134.44911984750763,826.6043348677479,9.656444521260655,0.009849,0.005691,0.005691,10.169972482624964,"POLYGON ((102.06741733030199 20.63736946764464, 102.04325700577044 20.72869572830948, 101.94593225775151 20.756506635415693, 101.8727970119773 20.692969356149895, 101.89701931115728 20.601620761543295, 101.99431498050033 20.573831723836864, 102.06741733030199 20.63736946764464))",3158468.6336574564,0.5541173041504309,3089848.6931353454,0.5420787180939203,13196285.461250743,2.3151378002194285,13306281.904756958,2.3344354218871857,2220217.2847490977,0.38951180434194693,2272848.3031474114,0.3987453163416511,0.0,0.0,0.0,0.0,36460479.805776656,6.3965754045222205,36780545.8206558,6.452727336957158,0.0,0.0,0.0,0.0
1,856494d3fffffff,834,102,908,506,799,29,0.0,0.0,0.0,,1,628.0,3854.0,92,Laos,0.0,0.3730552768556671,NH3,0.9690845950749324,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.79825574117909 19.272673280236287, 101.77410083385425 19.36472356257584, 101.67709809477618 19.3924181597974, 101.60428003870558 19.328039561140933, 101.62849578373854 19.23596864553454, 101.7254688462832 19.20829690579022, 101.79825574117909 19.272673280236287))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,85406597fffffff,899,140,927,287,590,696,0.0,0.0,0.0,,2,116.0,974.0,92,Laos,0.0,0.44563707304052924,NH3,1.6672318847479857,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((102.04388344404138 21.06568011964546, 102.01968009173395 21.156760483542005, 101.92220835033176 21.184547900468573, 101.84896929778611 21.121233704294497, 101.87323474737973 21.030130948422023, 101.97067725181772 21.002364724127826, 102.04388344404138 21.06568011964546))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8565924ffffffff,353,380,567,768,544,367,11.131949,0.0,0.0,,3,628.0,3574.0,92,Laos,0.0,0.517080822847787,NH3,2.1607977535258973,354.21601381854566,0.0,0.0,115.75539332069455,124.32826530144673,1665.633437658651,10.286123759281503,352.033293247846,0.0,0.0,115.78833343188825,122.79374504591915,1615.0361624957443,10.210627656824597,0.009849,0.005691,0.005691,10.80889558212929,"POLYGON ((106.6847727581285 15.915592842785719, 106.66284507919748 16.00842306346487, 106.56948686934024 16.03785515105577, 106.49807003490524 15.974412026833557, 106.52006624119439 15.881542585963507, 106.61341082267288 15.852155443986424, 106.6847727581285 15.915592842785719))",2884661.4435018627,0.5060809550003268,2920710.278185891,0.512405311962437,13260442.84299931,2.326393481227949,13256670.438226052,2.3257316558291317,4337905.152701143,0.7610359917019549,4473806.865454518,0.7848783974481611,0.0,0.0,0.0,0.0,37710925.06149003,6.61595176517369,37944745.025256574,6.656972811448521,0.0,0.0,0.0,0.0
4,85414ab7fffffff,403,721,161,785,595,90,11.131949,0.0,0.0,,4,0.0,0.0,92,Laos,0.0,0.42869254180484384,NH3,1.4597393793128104,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((103.61921041752625 20.522663101326334, 103.5956664792442 20.613994159206147, 103.49909399483998 20.642590446096033, 103.42608957844 20.5798284197638, 103.44969868856808 20.48846885140747, 103.54624713344003 20.459899766276216, 103.61921041752625 20.522663101326334))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,85414837fffffff,363,847,646,510,712,860,11.131949,0.0,0.0,,5,182.0,2115.0,92,Laos,0.0,0.3847129911208147,NH3,1.1118379298752865,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((103.08314998199243 19.835062572664935, 103.05944617820747 19.92678695181878, 102.96282885677262 19.955108696539117, 102.88994109434535 19.891679530997624, 102.91370869803562 19.79992902025987, 103.01030035690275 19.771633752377095, 103.08314998199243 19.835062572664935))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,85649403fffffff,229,600,57,525,0,0,11.131949,0.0,0.0,,6,0.0,0.0,91,Other,0.0,0.39017970457820106,NH3,1.1787800043412007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.2157697929435 19.43820219160079, 101.1913848087409 19.530175180697757, 101.09410591379758 19.5575814991371, 101.02124366121846 19.49299421899828, 101.04568824117904 19.401002898301943, 101.14293558028396 19.37361713247052, 101.2157697929435 19.43820219160079))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,85649403fffffff,229,600,57,525,0,0,11.131949,0.0,0.0,,6,0.0,0.0,92,Laos,0.0,0.39017970457820106,NH3,1.1787800043412007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.2157697929435 19.43820219160079, 101.1913848087409 19.530175180697757, 101.09410591379758 19.5575814991371, 101.02124366121846 19.49299421899828, 101.04568824117904 19.401002898301943, 101.14293558028396 19.37361713247052, 101.2157697929435 19.43820219160079))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8564b39bfffffff,844,309,652,15,158,0,11.131949,0.0,0.0,,7,92.0,836.0,92,Laos,0.0,0.3511823150919535,NH3,0.8918870947700669,339.311711252988,23.199361392399542,0.0,89.46358945954006,277.4780234999153,878.347932719661,10.565453827038485,337.0515779283098,22.82478451615357,0.0,88.01911039347037,285.8895000471925,809.8587213336974,10.477885319704113,0.009849,0.005691,0.005691,10.92232714213044,"POLYGON ((101.24118134556713 17.97821079710538, 101.2169200082441 18.070861548922355, 101.12010660332652 18.098294146004122, 101.0475858162357 18.03305327530601, 101.07190625038167 17.94038496887214, 101.1686884755571 17.91297503145316, 101.24118134556713 17.97821079710538))",6716094.680390787,1.1782622246299628,6518492.9045855375,1.1435952464185153,10080224.387639554,1.7684604188841324,10245650.65750459,1.7974825714920333,2175239.4168094434,0.3816209503174462,2359197.9620574308,0.4138943793083212,4639534.705903321,0.8139534571760212,4715673.975307688,0.8273112237381909,36106036.10767781,6.334392299592598,36348148.7716522,6.376868205553017,0.0,0.0,0.0,0.0
9,85416a67fffffff,159,457,800,683,225,788,0.0,0.0,0.0,,8,0.0,0.0,92,Laos,0.0,0.3939663280333731,NH3,1.2251487103812106,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((104.89960852263748 18.61048260282761, 104.87673160381827 18.702637000705355, 104.78144830517138 18.73173099005392, 104.70906162632127 18.66863606537924, 104.73200531103377 18.576448573633677, 104.8272689896812 18.547389050302414, 104.89960852263748 18.61048260282761))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
