,h3_index,n0,n1,n2,n3,n4,n5,waterbody_dist,waterway_dist,road_dist,hydro,index,theo_turbines,theo_pv,index_right_renamed,country,Vientiane road construction costs,Vientiane trucking transport and conversion costs,Vientiane trucking state,Vientiane pipeline transport and conversion costs,Vientiane trucking solar capacity,Vientiane trucking wind capacity,Vientiane trucking hydro capacity,Vientiane trucking electrolyzer capacity,Vientiane trucking battery capacity,Vientiane trucking H2 storage capacity,Vientiane trucking production cost,Vientiane pipeline solar capacity,Vientiane pipeline wind capacity,Vientiane pipeline hydro capacity,Vientiane pipeline electrolyzer capacity,Vientiane pipeline battery capacity,Vientiane pipeline H2 storage capacity,Vientiane pipeline production cost,Ocean water costs,Freshwater costs,Lowest water cost,Vientiane trucking total cost,Vientiane pipeline total cost,geometry,Vientiane pipeline battery costs,Vientiane LCOH - pipeline battery costs portion,Vientiane trucking battery costs,Vientiane LCOH - trucking battery costs portion,Vientiane pipeline electrolyzer costs,Vientiane LCOH - pipeline electrolyzer portion,Vientiane trucking electrolyzer costs,Vientiane LCOH - trucking electrolyzer portion,Vientiane pipeline H2 storage costs,Vientiane LCOH - pipeline H2 storage portion,Vientiane trucking H2 storage costs,Vientiane LCOH - trucking H2 storage portion,Vientiane pipeline wind costs,Vientiane LCOH - pipeline wind portion,Vientiane trucking wind costs,Vientiane LCOH - trucking wind portion,Vientiane pipeline solar costs,Vientiane LCOH - pipeline solar portion,Vientiane trucking solar costs,Vientiane LCOH - trucking solar portion,Vientiane pipeline hydro costs,Vientiane LCOH - pipeline hydro portion,Vientiane trucking hydro costs,Vientiane LCOH - trucking hydro portion
0,85414d57fffffff,135,563,738,590,661,392,0.0,0.0,0.0,10.5,0,221.0,2044.0,92,Laos,0.0,0.3470728339651986,NH3,0.8415648684913494,348.5634335810749,0.0,0.0,46.076114259244115,643.476394568518,517.3181725368984,8.197839963458062,345.5340309936041,0.0,0.0,45.675661755309605,624.101225880178,420.10699978907326,8.032818981017455,0.009849,0.005691,0.005691,8.55060379742326,8.880074849508805,"POLYGON ((103.46453415731271 19.04273848615606, 103.44104201809543 19.134827909727342, 103.34485783048741 19.16330743869943, 103.272190176572 19.099668508974013, 103.29574655634124 19.007551711053523, 103.39190643925204 18.979101163936935, 103.46453415731271 19.04273848615606))",11912338.069445375,2.089883871832522,12282155.57660142,2.154764136245863,2950775.350059012,0.5176798859752653,2976645.7005272675,0.5222185439521522,1128386.0766651041,0.19796246959036914,1389490.352194924,0.24377023722717964,0.0,0.0,0.0,0.0,29790342.457963992,5.226375869818244,30051523.506511614,5.272197106405546,0.0,0.0,0.0,0.0
1,85416b53fffffff,110,602,549,45,705,929,0.0,0.0,0.0,,1,53.0,367.0,92,Laos,0.0,0.3763123563164525,NH3,1.0089688248786177,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,,"POLYGON ((104.46562449030709 18.230857510365563, 104.44259708776852 18.32321885214335, 104.34718713024516 18.352094834495773, 104.27482562486274 18.288575767012986, 104.29791884388544 18.19618327223959, 104.39330783507414 18.16734094692448, 104.46562449030709 18.230857510365563))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,85414c07fffffff,408,496,244,234,603,473,11.131949,0.0,0.0,,2,86.0,1304.0,94,Other,0.0,0.38175319889280396,NH3,1.0755941001454836,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,,"POLYGON ((104.25779104913194 19.060768384375073, 104.23461679535319 19.152786942433426, 104.13883692573269 19.181629419571372, 104.06625314617358 19.11842167438019, 104.08949318256275 19.026372483571347, 104.18525130107768 18.997561619020775, 104.25779104913194 19.060768384375073))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,85414c07fffffff,408,496,244,234,603,473,11.131949,0.0,0.0,,2,86.0,1304.0,92,Laos,0.0,0.38175319889280396,NH3,1.0755941001454836,364.4003556334912,0.0,0.0,47.97156267133763,605.4823196434969,1196.2292407333427,8.651822663436917,357.1305695133161,0.0,0.0,47.01453012436075,601.0323110591278,1128.4968565334489,8.480005619091305,0.009849,0.005691,0.005691,9.039266862329722,9.561290719236789,"POLYGON ((104.25779104913194 19.060768384375073, 104.23461679535319 19.152786942433426, 104.13883692573269 19.181629419571372, 104.06625314617358 19.11842167438019, 104.08949318256275 19.026372483571347, 104.18525130107768 18.997561619020775, 104.25779104913194 19.060768384375073))",11472017.331641939,2.012634619586305,11556955.48665706,2.0275360502907125,3037269.98699573,0.5328543836834614,3099096.9631203897,0.5437012216000684,3031085.2737802947,0.5317693462772447,3213011.019623294,0.5636861437935603,0.0,0.0,0.0,0.0,30790142.25434233,5.4017793428670755,31416909.515134007,5.511738511427018,0.0,0.0,0.0,0.0
4,8541496bfffffff,388,90,804,750,619,671,11.131949,0.0,0.0,,3,232.0,2394.0,92,Laos,0.0,0.3997629873322675,NH3,1.2961311025378406,320.26730067449364,35.90694887643154,0.0,82.15578001935249,319.0423941705426,676.543762209499,8.26009877411972,317.3496509445624,33.31672920755486,0.0,76.2293082923796,359.8857986831716,605.8129255560631,8.169421188805368,0.009849,0.005691,0.005691,8.66555276145199,9.471243291343209,"POLYGON ((102.26097235524003 20.243631533495652, 102.23691715540762 20.33517132182632, 102.13979963856569 20.363087480750554, 102.0667658012852 20.299440708995046, 102.0908832373495 20.207877959955113, 102.18797237206779 20.179984887561115, 102.26097235524003 20.243631533495652))",6869208.267072658,1.205124257381168,6089622.484693568,1.0683548218760646,4924626.27178149,0.8639695213651737,5307492.901682925,0.931139105558408,1627182.7667818705,0.28547066083892464,1817162.2037126587,0.3188003866162559,5778952.501547219,1.0138513160609157,6228238.994880947,1.0926735078738503,27360415.85648866,4.800072957278712,27611962.091680314,4.844203875733388,0.0,0.0,0.0,0.0
5,85414b53fffffff,536,271,380,193,0,0,22.263898,0.0,0.0,,4,64.0,884.0,94,Other,0.0,0.4418673882197806,NH3,1.6210705990046057,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,,"POLYGON ((103.13781329608486 21.001661467487885, 103.11404023777558 21.092749193380257, 103.01707847398073 21.12110634647957, 102.9439155450863 21.058350811430984, 102.96775300523103 20.967236369084052, 103.06468908584779 20.93890412350282, 103.13781329608486 21.001661467487885))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,85414b53fffffff,536,271,380,193,0,0,22.263898,0.0,0.0,,4,64.0,884.0,92,Laos,0.0,0.4418673882197806,NH3,1.6210705990046057,318.81267677859154,45.41659351680767,0.0,99.87476851442814,195.14407197216767,1188.9391069422118,8.555042707622563,315.18193978461477,45.43119675044049,0.0,99.90688220825021,190.74364273668414,1125.0216738482877,8.451941531636068,0.009849,0.005691,0.005691,9.002601095842344,10.078703130640674,"POLYGON ((103.13781329608486 21.001661467487885, 103.11404023777558 21.092749193380257, 103.01707847398073 21.12110634647957, 102.9439155450863 21.058350811430984, 102.96775300523103 20.967236369084052, 103.06468908584779 20.93890412350282, 103.13781329608486 21.001661467487885))",3640759.9643349093,0.63872981830437,3724751.7889460903,0.6534652261308931,6454263.693006799,1.1323269636854032,6452189.058672278,1.1319629927495225,3021751.109489359,0.5301317735946244,3193430.090309885,0.5602508930368219,7880267.191705831,1.3825030160887424,7877734.188150551,1.3820586295000967,27173525.84852303,4.767285236582987,27486551.1621639,4.822201958274368,0.0,0.0,0.0,0.0
7,85416b67fffffff,883,467,433,505,906,0,0.0,0.0,0.0,,5,601.0,2270.0,92,Laos,0.0,0.33770324380608785,NH3,0.7268305208736181,318.8126767785914,45.41659351680768,0.0,99.87476851442815,195.14407197216775,1188.9391069422156,8.555042707622563,315.1819397846149,45.43119675044049,0.0,99.90688220825021,190.74364273668428,1125.021673848283,8.451941531636068,0.009849,0.005691,0.005691,8.898436951428652,9.184463052509686,"POLYGON ((103.72432614459005 18.368422070158395, 103.70098863750367 18.46079333903107, 103.60514409597941 18.489356527151195, 103.53266051504848 18.42551746882218, 103.55606249333941 18.33311805427139, 103.65188366906361 18.304585791148348, 103.72432614459005 18.368422070158395))",3640759.964334912,0.6387298183043706,3724751.7889460917,0.6534652261308933,6454263.693006799,1.1323269636854032,6452189.058672279,1.1319629927495227,3021751.1094893455,0.530131773594622,3193430.0903098956,0.5602508930368237,7880267.191705831,1.3825030160887424,7877734.188150552,1.382058629500097,27173525.84852304,4.767285236582989,27486551.162163887,4.822201958274366,0.0,0.0,0.0,0.0
8,854168dbfffffff,60,565,256,404,874,93,11.131949,0.0,0.0,,6,952.0,3873.0,92,Laos,0.0,0.43177309267803504,NH3,1.4974619465475303,334.9453753073454,48.656898687510974,0.0,62.545124050699535,457.6100874464901,550.0944965139669,9.052737557468953,330.47852423513035,41.18370999932182,0.0,52.93884978815496,539.2049945099126,498.67095738516,8.893498640978263,0.009849,0.005691,0.005691,9.49020165014699,10.396651587525794,"POLYGON ((105.52427574727345 17.136541271161747, 105.5017672297386 17.229187947470916, 105.40730325578798 17.258382998757913, 105.33536531387875 17.194892307475403, 105.35794104402771 17.102210593855542, 105.45238757954839 17.073054560390435, 105.52427574727345 17.136541271161747))",10291907.65372525,1.805597833986886,8734490.239084445,1.5323667086113062,3419997.587603765,0.5999995767725904,4040589.7412911225,0.7088753932089689,1339404.8788360783,0.23498331207650497,1477525.8946604333,0.2592150692386725,7143519.474582991,1.2532490306285948,8439781.24731283,1.4806633767215494,28492326.45379962,4.998653763824495,28877437.647528823,5.066217131145407,0.0,0.0,0.0,0.0
9,8564b047fffffff,755,908,667,0,0,0,0.0,0.0,0.0,,7,69.0,212.0,91,Other,0.0,0.33165529413497463,NH3,0.6527709784436525,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,,"POLYGON ((101.82088245611801 17.81263913259082, 101.79684921014682 17.90534717732523, 101.70031017485364 17.933040934619232, 101.62783380964 17.868001566429445, 101.65192737507462 17.775273638998726, 101.748437083902 17.74760490690724, 101.82088245611801 17.81263913259082))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8564b047fffffff,755,908,667,0,0,0,0.0,0.0,0.0,,7,69.0,212.0,92,Laos,0.0,0.33165529413497463,NH3,0.6527709784436525,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,,"POLYGON ((101.82088245611801 17.81263913259082, 101.79684921014682 17.90534717732523, 101.70031017485364 17.933040934619232, 101.62783380964 17.868001566429445, 101.65192737507462 17.775273638998726, 101.748437083902 17.74760490690724, 101.82088245611801 17.81263913259082))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
