,h3_index,n0,n1,n2,n3,n4,n5,waterbody_dist,waterway_dist,road_dist,hydro,index,theo_turbines,theo_pv,index_right_renamed,country,Vientiane road construction costs,Vientiane trucking transport and conversion costs,Vientiane trucking state,Vientiane pipeline transport and conversion costs,Vientiane trucking solar capacity,Vientiane trucking wind capacity,Vientiane trucking hydro capacity,Vientiane trucking electrolyzer capacity,Vientiane trucking battery capacity,Vientiane trucking H2 storage capacity,Vientiane trucking production cost,Vientiane pipeline solar capacity,Vientiane pipeline wind capacity,Vientiane pipeline hydro capacity,Vientiane pipeline electrolyzer capacity,Vientiane pipeline battery capacity,Vientiane pipeline H2 storage capacity,Vientiane pipeline production cost,Ocean water costs,Freshwater costs,Lowest water cost,Vientiane trucking total cost,Vientiane pipeline total cost,geometry,Vientiane pipeline battery costs,Vientiane LCOH - pipeline battery costs portion,Vientiane trucking battery costs,Vientiane LCOH - trucking battery costs portion,Vientiane pipeline electrolyzer costs,Vientiane LCOH - pipeline electrolyzer portion,Vientiane trucking electrolyzer costs,Vientiane LCOH - trucking electrolyzer portion,Vientiane pipeline H2 storage costs,Vientiane LCOH - pipeline H2 storage portion,Vientiane trucking H2 storage costs,Vientiane LCOH - trucking H2 storage portion,Vientiane pipeline wind costs,Vientiane LCOH - pipeline wind portion,Vientiane trucking wind costs,Vientiane LCOH - trucking wind portion,Vientiane pipeline solar costs,Vientiane LCOH - pipeline solar portion,Vientiane trucking solar costs,Vientiane LCOH - trucking solar portion,Vientiane pipeline hydro costs,Vientiane LCOH - pipeline hydro portion,Vientiane trucking hydro costs,Vientiane LCOH - trucking hydro portion
0,856496cbfffffff,803,169,232,86,487,551,0.0,0.0,0.0,,0,221.0,1776.0,92,Laos,0.0,0.4304885672551819,NH3,1.4817324232827231,342.513802780494,0.0,0.0,119.37915569858995,113.42596418625754,864.3680668184037,9.71616140246043,340.3603268415023,0.0,0.0,115.22812014203262,134.4491198475077,826.6043348677468,9.65644452126066,0.009849,0.005691,0.005691,10.152340969715613,11.143867944543384,"POLYGON ((102.06741733030199 20.63736946764464, 102.04325700577044 20.72869572830948, 101.94593225775151 20.756506635415693, 101.8727970119773 20.692969356149895, 101.89701931115728 20.601620761543295, 101.99431498050033 20.573831723836864, 102.06741733030199 20.63736946764464))",3158468.6336574573,0.5541173041504311,2664594.238556405,0.4674726734309483,13196285.46125075,2.31513780021943,13671675.063169202,2.3985394847665265,2220217.284749095,0.3895118043419465,2321648.7518692072,0.4073067985735451,0.0,0.0,0.0,0.0,36460479.80577667,6.396575404522223,36691166.99166129,6.437046840642331,0.0,0.0,0.0,0.0
1,856494d3fffffff,834,102,908,506,799,29,0.0,0.0,0.0,,1,628.0,3854.0,92,Laos,0.0,0.3730552768556671,NH3,0.9690845950749324,375.46433626702446,0.0,0.0,127.86633792163082,95.32966588073437,1526.0346999139265,10.743762194807141,376.1690913687922,0.0,0.0,122.3005122073277,120.80535523906,1396.8202269904782,10.684097574579503,0.009849,0.005691,0.005691,11.122508471662808,11.658873169654436,"POLYGON ((101.79825574117909 19.272673280236287, 101.77410083385425 19.36472356257584, 101.67709809477618 19.3924181597974, 101.60428003870558 19.328039561140933, 101.62849578373854 19.23596864553454, 101.7254688462832 19.20829690579022, 101.79825574117909 19.272673280236287))",2837950.3393788165,0.49788602445242397,2239477.3568086433,0.39289076435239356,14006237.966528792,2.4572347309699634,14643653.771481438,2.569062065172182,3751788.2266460652,0.6582084608150992,4098851.7419496523,0.7190967968332723,0.0,0.0,0.0,0.0,40296428.45476552,7.069548851713249,40220932.848698646,7.056304008543622,0.0,0.0,0.0,0.0
2,85406597fffffff,899,140,927,287,590,696,0.0,0.0,0.0,,2,116.0,974.0,92,Laos,0.0,0.44563707304052924,NH3,1.6672318847479857,375.4643362670246,0.0,0.0,127.86633792163087,95.32966588073421,1526.034699913923,10.743762194807143,376.1690913687922,0.0,0.0,122.3005122073277,120.80535523905976,1396.820226990486,10.684097574579507,0.009849,0.005691,0.005691,11.195090267847673,12.357020459327494,"POLYGON ((102.04388344404138 21.06568011964546, 102.01968009173395 21.156760483542005, 101.92220835033176 21.184547900468573, 101.84896929778611 21.121233704294497, 101.87323474737973 21.030130948422023, 101.97067725181772 21.002364724127826, 102.04388344404138 21.06568011964546))",2837950.339378811,0.49788602445242297,2239477.3568086396,0.3928907643523929,14006237.966528792,2.4572347309699634,14643653.771481445,2.5690620651721834,3751788.2266460857,0.6582084608151028,4098851.7419496435,0.7190967968332708,0.0,0.0,0.0,0.0,40296428.45476552,7.069548851713249,40220932.84869866,7.056304008543624,0.0,0.0,0.0,0.0
3,8565924ffffffff,353,380,567,768,544,367,11.131949,0.0,0.0,,3,628.0,3574.0,92,Laos,0.0,0.517080822847787,NH3,2.1607977535258973,353.52618798072797,0.0,0.0,116.16136394486433,120.85313886307988,1667.4593200507345,10.2678432955503,352.0332932478462,0.0,0.0,115.78833343188872,122.79374504591692,1615.0361624957413,10.210627656824599,0.009849,0.005691,0.005691,10.790615118398087,12.377116410350498,"POLYGON ((106.6847727581285 15.915592842785719, 106.66284507919748 16.00842306346487, 106.56948686934024 16.03785515105577, 106.49807003490524 15.974412026833557, 106.52006624119439 15.881542585963507, 106.61341082267288 15.852155443986424, 106.6847727581285 15.915592842785719))",2884661.4435018105,0.5060809550003177,2839072.8686883464,0.49808295941900815,13260442.842999361,2.3263934812279583,13303163.46648012,2.3338883274526525,4337905.152701135,0.7610359917019535,4478711.092877269,0.7857387882240823,0.0,0.0,0.0,0.0,37710925.06149005,6.615951765173693,37870848.68938613,6.644008541997566,0.0,0.0,0.0,0.0
4,85414ab7fffffff,403,721,161,785,595,90,11.131949,0.0,0.0,,4,0.0,0.0,92,Laos,0.0,0.42869254180484384,NH3,1.4597393793128104,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,,"POLYGON ((103.61921041752625 20.522663101326334, 103.5956664792442 20.613994159206147, 103.49909399483998 20.642590446096033, 103.42608957844 20.5798284197638, 103.44969868856808 20.48846885140747, 103.54624713344003 20.459899766276216, 103.61921041752625 20.522663101326334))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,85414837fffffff,363,847,646,510,712,860,11.131949,0.0,0.0,,5,182.0,2115.0,92,Laos,0.0,0.3847129911208147,NH3,1.1118379298752865,323.0566463055635,0.0,0.0,108.0966623634737,117.89541207793052,2554.901675518304,9.938972283545223,321.63723051026653,0.0,0.0,106.33911632818295,127.28173514065355,2488.6945212676587,9.87967001043247,0.009849,0.005691,0.005691,10.329376274666037,10.997198940307756,"POLYGON ((103.08314998199243 19.835062572664935, 103.05944617820747 19.92678695181878, 102.96282885677262 19.955108696539117, 102.88994109434535 19.891679530997624, 102.91370869803562 19.79992902025987, 103.01030035690275 19.771633752377095, 103.08314998199243 19.835062572664935))",2990092.9700039434,0.5245777140357796,2769590.1730156755,0.48589301280976765,12178288.884988653,2.136541909647132,12379568.565368736,2.171854134275217,6684507.157179229,1.1727205538910928,6862336.212799716,1.2039186338245116,0.0,0.0,0.0,0.0,34454802.228658445,6.0447021453786745,34606854.55925961,6.071377992852563,0.0,0.0,0.0,0.0
6,85649403fffffff,229,600,57,525,0,0,11.131949,0.0,0.0,,6,0.0,0.0,91,Other,0.0,0.39017970457820106,NH3,1.1787800043412007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,,"POLYGON ((101.2157697929435 19.43820219160079, 101.1913848087409 19.530175180697757, 101.09410591379758 19.5575814991371, 101.02124366121846 19.49299421899828, 101.04568824117904 19.401002898301943, 101.14293558028396 19.37361713247052, 101.2157697929435 19.43820219160079))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,85649403fffffff,229,600,57,525,0,0,11.131949,0.0,0.0,,6,0.0,0.0,92,Laos,0.0,0.39017970457820106,NH3,1.1787800043412007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,,"POLYGON ((101.2157697929435 19.43820219160079, 101.1913848087409 19.530175180697757, 101.09410591379758 19.5575814991371, 101.02124366121846 19.49299421899828, 101.04568824117904 19.401002898301943, 101.14293558028396 19.37361713247052, 101.2157697929435 19.43820219160079))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8564b39bfffffff,844,309,652,15,158,0,11.131949,0.0,0.0,,7,92.0,836.0,92,Laos,0.0,0.3511823150919535,NH3,0.8918870947700669,346.95521799249724,0.0,0.0,119.88073059360602,104.99919835939352,1470.670297825806,10.060885712815514,345.5483571161801,0.0,0.0,117.44921394316889,116.76756895368901,1408.3407396303014,9.99986366729665,0.009849,0.005691,0.005691,10.417759027907469,10.897441762066716,"POLYGON ((101.24118134556713 17.97821079710538, 101.2169200082441 18.070861548922355, 101.12010660332652 18.098294146004122, 101.0475858162357 18.03305327530601, 101.07190625038167 17.94038496887214, 101.1686884755571 17.91297503145316, 101.24118134556713 17.97821079710538))",2743094.9669805346,0.4812447310492166,2466633.288142493,0.4327426821302619,13450652.08460519,2.3597635236149457,13729116.99215902,2.408617016168249,3782731.738811651,0.6636371471599387,3950145.768256071,0.693008029518609,0.0,0.0,0.0,0.0,37016238.09528418,6.494076858821786,37166945.5030673,6.520516754924087,0.0,0.0,0.0,0.0
9,85416a67fffffff,159,457,800,683,225,788,0.0,0.0,0.0,,8,0.0,0.0,92,Laos,0.0,0.3939663280333731,NH3,1.2251487103812106,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,,"POLYGON ((104.89960852263748 18.61048260282761, 104.87673160381827 18.702637000705355, 104.78144830517138 18.73173099005392, 104.70906162632127 18.66863606537924, 104.73200531103377 18.576448573633677, 104.8272689896812 18.547389050302414, 104.89960852263748 18.61048260282761))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
