,h3_index,n0,n1,n2,n3,n4,n5,waterbody_dist,waterway_dist,road_dist,hydro,index,theo_turbines,theo_pv,index_right_renamed,country,Vientiane road construction costs,Vientiane trucking transport and conversion costs,Vientiane trucking state,Vientiane pipeline transport and conversion costs,Vientiane trucking solar capacity,Vientiane trucking wind capacity,Vientiane trucking hydro capacity,Vientiane trucking electrolyzer capacity,Vientiane trucking battery capacity,Vientiane trucking H2 storage capacity,Vientiane trucking production cost,Ocean water costs,Freshwater costs,Lowest water cost,Vientiane trucking total cost,geometry,Vientiane trucking battery costs,Vientiane LCOH - trucking battery costs portion,Vientiane trucking electrolyzer costs,Vientiane LCOH - trucking electrolyzer portion,Vientiane trucking H2 storage costs,Vientiane LCOH - trucking H2 storage portion,Vientiane trucking wind costs,Vientiane LCOH - trucking wind portion,Vientiane trucking solar costs,Vientiane LCOH - trucking solar portion,Vientiane trucking hydro costs,Vientiane LCOH - trucking hydro portion
0,856496cbfffffff,803,169,232,86,487,551,0.0,0.0,0.0,,0,221.0,1776.0,92,Laos,0.0,0.4304885672551819,NH3,1.4817324232827231,341.39228814970835,0.0,0.0,124.08398799156689,91.27223281459791,912.4217196856207,9.465103216740221,0.009849,0.005691,0.005691,9.901282783995404,"POLYGON ((102.06741733030199 20.63736946764464, 102.04325700577044 20.72869572830948, 101.94593225775151 20.756506635415693, 101.8727970119773 20.692969356149895, 101.89701931115728 20.601620761543295, 101.99431498050033 20.573831723836864, 102.06741733030199 20.63736946764464))",2144160.443711022,0.37616849889667053,12753001.336049205,2.237368655447229,2450718.4242514577,0.42995060074586977,0.0,0.0,36571026.78047067,6.415969610608889,0.0,0.0
1,856494d3fffffff,834,102,908,506,799,29,0.0,0.0,0.0,,1,628.0,3854.0,92,Laos,0.0,0.3730552768556671,NH3,0.9690845950749324,375.4951749040064,0.0,0.0,134.28292743204392,60.64605769518482,1568.5922993455877,10.473494329472759,0.009849,0.005691,0.005691,10.852240606328426,"POLYGON ((101.79825574117909 19.272673280236287, 101.77410083385425 19.36472356257584, 101.67709809477618 19.3924181597974, 101.60428003870558 19.328039561140933, 101.62849578373854 19.23596864553454, 101.7254688462832 19.20829690579022, 101.79825574117909 19.272673280236287))",1424692.636162114,0.24994607651966913,13801219.485836012,2.4212665764624584,4213159.293785465,0.7391507532956956,0.0,0.0,40224236.38149094,7.056883575700165,0.0,0.0
2,85406597fffffff,899,140,927,287,590,696,0.0,0.0,0.0,,2,116.0,974.0,92,Laos,0.0,0.44563707304052924,NH3,1.6672318847479857,375.49517490400643,0.0,0.0,134.28292743204392,60.64605769518482,1568.5922993455845,10.473494329472757,0.009849,0.005691,0.005691,10.924822402513287,"POLYGON ((102.04388344404138 21.06568011964546, 102.01968009173395 21.156760483542005, 101.92220835033176 21.184547900468573, 101.84896929778611 21.121233704294497, 101.87323474737973 21.030130948422023, 101.97067725181772 21.002364724127826, 102.04388344404138 21.06568011964546))",1424692.636162114,0.24994607651966913,13801219.485836012,2.4212665764624584,4213159.293785457,0.7391507532956941,0.0,0.0,40224236.381490946,7.056883575700166,0.0,0.0
3,8565924ffffffff,353,380,567,768,544,367,11.131949,0.0,0.0,,3,628.0,3574.0,92,Laos,0.0,0.517080822847787,NH3,2.1607977535258973,353.3061210422604,0.0,0.0,124.38061218803962,78.97493975174658,1710.0801346587746,10.019875670931194,0.009849,0.005691,0.005691,10.542647493778981,"POLYGON ((106.6847727581285 15.915592842785719, 106.66284507919748 16.00842306346487, 106.56948686934024 16.03785515105577, 106.49807003490524 15.974412026833557, 106.52006624119439 15.881542585963507, 106.61341082267288 15.852155443986424, 106.6847727581285 15.915592842785719))",1855273.3579349122,0.32548655402366883,12783487.532013332,2.242717110879532,4593188.437468012,0.8058225328891249,0.0,0.0,37847274.41961039,6.639872705194805,0.0,0.0
4,85414ab7fffffff,403,721,161,785,595,90,11.131949,0.0,0.0,,4,0.0,0.0,92,Laos,0.0,0.42869254180484384,NH3,1.4597393793128104,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((103.61921041752625 20.522663101326334, 103.5956664792442 20.613994159206147, 103.49909399483998 20.642590446096033, 103.42608957844 20.5798284197638, 103.44969868856808 20.48846885140747, 103.54624713344003 20.459899766276216, 103.61921041752625 20.522663101326334))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,85414837fffffff,363,847,646,510,712,860,11.131949,0.0,0.0,,5,182.0,2115.0,92,Laos,0.0,0.3847129911208147,NH3,1.1118379298752865,325.83467253612014,0.0,0.0,118.83570464221313,51.54202931925316,2590.958906502428,9.705446891836127,0.009849,0.005691,0.005691,10.095850882956942,"POLYGON ((103.08314998199243 19.835062572664935, 103.05944617820747 19.92678695181878, 102.96282885677262 19.955108696539117, 102.88994109434535 19.891679530997624, 102.91370869803562 19.79992902025987, 103.01030035690275 19.771633752377095, 103.08314998199243 19.835062572664935))",1210821.4847710058,0.21242482188965015,12213597.6172485,2.1427364240786844,6959184.104946267,1.2209094920958363,0.0,0.0,34904445.55706793,6.123586939836479,0.0,0.0
6,85649403fffffff,229,600,57,525,0,0,11.131949,0.0,0.0,,6,0.0,0.0,91,Other,0.0,0.39017970457820106,NH3,1.1787800043412007,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.2157697929435 19.43820219160079, 101.1913848087409 19.530175180697757, 101.09410591379758 19.5575814991371, 101.02124366121846 19.49299421899828, 101.04568824117904 19.401002898301943, 101.14293558028396 19.37361713247052, 101.2157697929435 19.43820219160079))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,85649403fffffff,229,600,57,525,0,0,11.131949,0.0,0.0,,6,0.0,0.0,92,Laos,0.0,0.39017970457820106,NH3,1.1787800043412007,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.2157697929435 19.43820219160079, 101.1913848087409 19.530175180697757, 101.09410591379758 19.5575814991371, 101.02124366121846 19.49299421899828, 101.04568824117904 19.401002898301943, 101.14293558028396 19.37361713247052, 101.2157697929435 19.43820219160079))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8564b39bfffffff,844,309,652,15,158,0,11.131949,0.0,0.0,,7,92.0,836.0,92,Laos,0.0,0.3511823150919535,NH3,0.8918870947700669,346.77499029977963,0.0,0.0,128.17280582377995,66.19921839457167,1481.4089294923772,9.804973785526101,0.009849,0.005691,0.005691,10.161847100618056,"POLYGON ((101.24118134556713 17.97821079710538, 101.2169200082441 18.070861548922355, 101.12010660332652 18.098294146004122, 101.0475858162357 18.03305327530601, 101.07190625038167 17.94038496887214, 101.1686884755571 17.91297503145316, 101.24118134556713 17.97821079710538))",1555147.0705724396,0.2728328193986736,13173238.468342368,2.31109446813024,3978989.1878160345,0.6980682785642166,0.0,0.0,37147638.939897165,6.51712963857845,0.0,0.0
9,85416a67fffffff,159,457,800,683,225,788,0.0,0.0,0.0,,8,0.0,0.0,92,Laos,0.0,0.3939663280333731,NH3,1.2251487103812106,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((104.89960852263748 18.61048260282761, 104.87673160381827 18.702637000705355, 104.78144830517138 18.73173099005392, 104.70906162632127 18.66863606537924, 104.73200531103377 18.576448573633677, 104.8272689896812 18.547389050302414, 104.89960852263748 18.61048260282761))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,85649293fffffff,155,623,195,739,528,249,11.131949,0.0,0.0,5.5,9,83.0,1246.0,92,Laos,0.0,0.46614657771099516,NH3,1.7277333121785823,329.2157585495777,0.0,5.5,113.05799956531533,65.37881359812386,1642.5995681401182,9.499563646149555,0.009849,0.005691,0.005691,9.971401223860552,"POLYGON ((101.01922024743966 20.849412210325948, 100.99465026458253 20.940616549162375, 100.89685114047268 20.967869691787577, 100.82365457898851 20.903900459036876, 100.84828425272454 20.812677888051596, 100.94605090181885 20.785442724159033, 101.01922024743966 20.849412210325948))",1535874.182661968,0.2694516109933277,11619781.430667007,2.038558145731054,4411939.06113447,0.7740243966902578,0.0,0.0,35266638.235219486,6.1871295149507874,1280981.356972652,0.2247335713987109
11,854065b3fffffff,287,807,443,348,696,437,0.0,0.0,0.0,,10,9.0,65.0,92,Laos,0.0,0.4664835258691115,NH3,1.7318593760133894,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.75143872545267 21.148932245208822, 101.72711765376634 21.23996554505458, 101.62949975652609 21.267595224503317, 101.55623322705259 21.20417145486076, 101.58061578031739 21.113116894475667, 101.67820348271881 21.085507307234572, 101.75143872545267 21.148932245208822))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,854065b3fffffff,287,807,443,348,696,437,0.0,0.0,0.0,,10,9.0,65.0,139,Other,0.0,0.4664835258691115,NH3,1.7318593760133894,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.75143872545267 21.148932245208822, 101.72711765376634 21.23996554505458, 101.62949975652609 21.267595224503317, 101.55623322705259 21.20417145486076, 101.58061578031739 21.113116894475667, 101.67820348271881 21.085507307234572, 101.75143872545267 21.148932245208822))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,856590dbfffffff,569,932,85,279,0,0,15.742953,0.0,11.131949,,11,39.0,253.0,90,Other,0.11303062772433467,0.5694019823656244,NH3,2.610845511540075,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((106.79887000250963 14.32921887822729, 106.77710150892428 14.422379189898965, 106.6842885139552 14.45153818486975, 106.61325721251981 14.387488749146096, 106.63509371598639 14.29428977110516, 106.72789357739948 14.265178849362893, 106.79887000250963 14.32921887822729))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8564b3cffffffff,35,199,818,486,0,0,0.0,0.0,0.0,,12,328.0,1430.0,91,Other,0.0,0.37019943966904745,NH3,0.9341137360570856,335.8847773306039,0.0,0.0,126.80735562423418,76.01632865836167,1485.9676384852523,9.618184463627218,0.009849,0.005691,0.005691,9.994074903296266,"POLYGON ((101.2166334028338 18.413634281005297, 101.19232915922723 18.506095379475166, 101.09537150377157 18.53351616035834, 101.02274953759931 18.468453822531764, 101.04711298728931 18.375974990815944, 101.14403929837663 18.348576173703126, 101.2166334028338 18.413634281005297))",1785769.8881595356,0.31329296283500624,13032901.358768653,2.2864739225909916,3991233.6487693414,0.7002164296086564,0.0,0.0,35981044.71980129,6.3124639859300515,0.0,0.0
15,8564b3cffffffff,35,199,818,486,0,0,0.0,0.0,0.0,,12,328.0,1430.0,92,Laos,0.0,0.37019943966904745,NH3,0.9341137360570856,335.07110089072387,0.0,0.0,128.6748167826333,59.78630565494295,1121.7600058804014,9.397921688262166,0.009849,0.005691,0.005691,9.773812127931214,"POLYGON ((101.2166334028338 18.413634281005297, 101.19232915922723 18.506095379475166, 101.09537150377157 18.53351616035834, 101.02274953759931 18.468453822531764, 101.04711298728931 18.375974990815944, 101.14403929837663 18.348576173703126, 101.2166334028338 18.413634281005297))",1404495.405753266,0.24640270276373089,13224833.734843658,2.3201462692708175,3012990.434890946,0.5285948131387624,0.0,0.0,35893881.1138664,6.29717212523972,0.0,0.0
16,856590cffffffff,636,85,214,49,0,0,0.0,0.0,0.0,,13,4.0,16.0,90,Other,0.0,0.5602134059128221,NH3,2.4983277485488298,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((106.52034523150807 14.416591123120954, 106.49845111660713 14.509790369483953, 106.40542753264775 14.538882982742503, 106.33431214459367 14.474729309708461, 106.35627389307605 14.381492506837048, 106.44928346417763 14.352446887007838, 106.52034523150807 14.416591123120954))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
