,h3_index,n0,n1,n2,n3,n4,n5,waterbody_dist,waterway_dist,road_dist,hydro,index,theo_turbines,theo_pv,index_right_renamed,country,Vientiane road construction costs,Vientiane trucking transport and conversion costs,Vientiane trucking state,Vientiane pipeline transport and conversion costs,Vientiane trucking solar capacity,Vientiane trucking wind capacity,Vientiane trucking hydro capacity,Vientiane trucking electrolyzer capacity,Vientiane trucking battery capacity,Vientiane trucking H2 storage capacity,Vientiane trucking production cost,Ocean water costs,Freshwater costs,Lowest water cost,Vientiane trucking total cost,geometry,Vientiane trucking battery costs,Vientiane LCOH - trucking battery costs portion,Vientiane trucking electrolyzer costs,Vientiane LCOH - trucking electrolyzer portion,Vientiane trucking H2 storage costs,Vientiane LCOH - trucking H2 storage portion,Vientiane trucking wind costs,Vientiane LCOH - trucking wind portion,Vientiane trucking solar costs,Vientiane LCOH - trucking solar portion,Vientiane trucking hydro costs,Vientiane LCOH - trucking hydro portion
0,85414d57fffffff,135,563,738,590,661,392,0.0,0.0,0.0,10.5,0,221.0,2044.0,92,Laos,0.0,0.3470728339651986,NH3,0.8415648684913494,255.14634997657484,0.0,10.5,121.01182473129033,67.78470337814032,814.6134979149292,6.523887528040087,0.009849,0.005691,0.005691,6.876651362005286,"POLYGON ((103.46453415731271 19.04273848615606, 103.44104201809543 19.134827909727342, 103.34485783048741 19.16330743869943, 103.272190176572 19.099668508974013, 103.29574655634124 19.007551711053523, 103.39190643925204 18.979101163936935, 103.46453415731271 19.04273848615606))",1293819.446418635,0.226985867792743,9239102.291885983,1.6208951389273654,2188010.5053526224,0.3838614921671267,0.0,0.0,21997535.58526451,3.859216769344651,2445509.8633114267,0.4290368181248117
1,85416b53fffffff,110,602,549,45,705,929,0.0,0.0,0.0,,1,53.0,367.0,92,Laos,0.0,0.3763123563164525,NH3,1.0089688248786177,367.0,0.0,0.0,137.7432527599914,65.9249319780896,1766.465863309829,8.454257643558826,0.009849,0.005691,0.005691,8.836260999875279,"POLYGON ((104.46562449030709 18.230857510365563, 104.44259708776852 18.32321885214335, 104.34718713024516 18.352094834495773, 104.27482562486274 18.288575767012986, 104.29791884388544 18.19618327223959, 104.39330783507414 18.16734094692448, 104.46562449030709 18.230857510365563))",1258321.6381615764,0.2207581821336099,10516526.009690037,1.8450045631035152,4744637.642466765,0.8323925688538184,0.0,0.0,31641038.801978834,5.551059438943655,0.0,0.0
2,85414c07fffffff,408,496,244,234,603,473,11.131949,0.0,0.0,,2,86.0,1304.0,94,Other,0.0,0.38175319889280396,NH3,1.0755941001454836,378.1243424993157,0.0,0.0,133.85566717218217,56.9849933098924,1517.9975550472475,8.423408603351996,0.009849,0.005691,0.005691,8.810852802244801,"POLYGON ((104.25779104913194 19.060768384375073, 104.23461679535319 19.152786942433426, 104.13883692573269 19.181629419571372, 104.06625314617358 19.11842167438019, 104.08949318256275 19.026372483571347, 104.18525130107768 18.997561619020775, 104.25779104913194 19.060768384375073))",1087683.3389249737,0.19082163840789013,10219713.685820136,1.79293222558248,4077264.378805848,0.7153095401413768,0.0,0.0,32600128.046304032,5.7193207098779,0.0,0.0
3,85414c07fffffff,408,496,244,234,603,473,11.131949,0.0,0.0,,2,86.0,1304.0,92,Laos,0.0,0.38175319889280396,NH3,1.0755941001454836,358.20612069998305,0.0,0.0,127.99934456970122,52.32890319160086,1626.8425371767714,8.079185860747195,0.009849,0.005691,0.005691,8.46663005964,"POLYGON ((104.25779104913194 19.060768384375073, 104.23461679535319 19.152786942433426, 104.13883692573269 19.181629419571372, 104.06625314617358 19.11842167438019, 104.08949318256275 19.026372483571347, 104.18525130107768 18.997561619020775, 104.25779104913194 19.060768384375073))",998811.6667172002,0.17523011696792987,9772590.739787785,1.7144896034715413,4369616.475798951,0.7665993817191142,0.0,0.0,30882871.292028546,5.418047595092728,0.0,0.0
4,8541496bfffffff,388,90,804,750,619,671,11.131949,0.0,0.0,,3,232.0,2394.0,92,Laos,0.0,0.3997629873322675,NH3,1.2961311025378406,333.1778852653609,0.0,0.0,131.44455871184755,45.377384015658286,1082.792242585294,7.466757909998315,0.009849,0.005691,0.005691,7.872211897330582,"POLYGON ((102.26097235524003 20.243631533495652, 102.23691715540762 20.33517132182632, 102.13979963856569 20.363087480750554, 102.0667658012852 20.299440708995046, 102.0908832373495 20.207877959955113, 102.18797237206779 20.179984887561115, 102.26097235524003 20.243631533495652))",866126.7061913274,0.15195205371777673,10035628.554046208,1.7606365884291593,2908325.0006966633,0.5102324562625725,0.0,0.0,28725052.84916222,5.039482955993372,0.0,0.0
5,85414b53fffffff,536,271,380,193,0,0,22.263898,0.0,0.0,,4,64.0,884.0,94,Other,0.0,0.4418673882197806,NH3,1.6210705990046057,343.2181304060948,0.0,0.0,123.39283915118989,49.51933717445914,1900.9925404699552,7.9104589480303185,0.009849,0.005691,0.005691,8.3580173362501,"POLYGON ((103.13781329608486 21.001661467487885, 103.11404023777558 21.092749193380257, 103.01707847398073 21.12110634647957, 102.9439155450863 21.058350811430984, 102.96775300523103 20.967236369084052, 103.06468908584779 20.93890412350282, 103.13781329608486 21.001661467487885))",945184.9490682863,0.16582192088917305,9420889.781106608,1.6527876808958961,5105969.4687008485,0.8957841173159383,0.0,0.0,29590676.24447378,5.191346709556804,0.0,0.0
6,85414b53fffffff,536,271,380,193,0,0,22.263898,0.0,0.0,,4,64.0,884.0,92,Laos,0.0,0.4418673882197806,NH3,1.6210705990046057,334.3134737674062,25.76468260972738,0.0,123.42005240490819,53.78386343066047,1559.5687865467123,8.413868500726071,0.009849,0.005691,0.005691,8.861426888945852,"POLYGON ((103.13781329608486 21.001661467487885, 103.11404023777558 21.092749193380257, 103.01707847398073 21.12110634647957, 102.9439155450863 21.058350811430984, 102.96775300523103 20.967236369084052, 103.06468908584779 20.93890412350282, 103.13781329608486 21.001661467487885))",1026582.767824774,0.1801022399692586,9422967.479177494,1.6531521893293848,4188922.5964441393,0.7348987011305508,4469012.431907374,0.7840372687556797,28822958.02588238,5.056659302786382,0.0,0.0
7,85416b67fffffff,883,467,433,505,906,0,0.0,0.0,0.0,,5,601.0,2270.0,92,Laos,0.0,0.33770324380608785,NH3,0.7268305208736181,334.3134737674062,25.76468260972744,0.0,123.42005240490816,53.78386343066042,1559.5687865467105,8.413868500726073,0.009849,0.005691,0.005691,8.757262744532161,"POLYGON ((103.72432614459005 18.368422070158395, 103.70098863750367 18.46079333903107, 103.60514409597941 18.489356527151195, 103.53266051504848 18.42551746882218, 103.55606249333941 18.33311805427139, 103.65188366906361 18.304585791148348, 103.72432614459005 18.368422070158395))",1026582.7678247729,0.1801022399692584,9422967.479177492,1.6531521893293846,4188922.596444134,0.7348987011305499,4469012.431907385,0.7840372687556815,28822958.02588238,5.056659302786382,0.0,0.0
8,854168dbfffffff,60,565,256,404,874,93,11.131949,0.0,0.0,,6,952.0,3873.0,92,Laos,0.0,0.43177309267803504,NH3,1.4974619465475303,346.79671753245685,0.0,0.0,129.88995389911582,58.39851131373019,1484.281227189651,7.884968104925107,0.009849,0.005691,0.005691,8.322432197603142,"POLYGON ((105.52427574727345 17.136541271161747, 105.5017672297386 17.229187947470916, 105.40730325578798 17.258382998757913, 105.33536531387875 17.194892307475403, 105.35794104402771 17.102210593855542, 105.45238757954839 17.073054560390435, 105.52427574727345 17.136541271161747))",1114663.4242552277,0.19555498671144345,9916936.410363719,1.7398134053269683,3986704.0336321434,0.699421760286341,0.0,0.0,29899205.438265286,5.245474638292156,0.0,0.0
9,8564b047fffffff,755,908,667,0,0,0,0.0,0.0,0.0,,7,69.0,212.0,91,Other,0.0,0.33165529413497463,NH3,0.6527709784436525,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.82088245611801 17.81263913259082, 101.79684921014682 17.90534717732523, 101.70031017485364 17.933040934619232, 101.62783380964 17.868001566429445, 101.65192737507462 17.775273638998726, 101.748437083902 17.74760490690724, 101.82088245611801 17.81263913259082))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
