,h3_index,n0,n1,n2,n3,n4,n5,waterbody_dist,waterway_dist,road_dist,hydro,index,theo_turbines,theo_pv,index_right_renamed,country,Vientiane road construction costs,Vientiane trucking transport and conversion costs,Vientiane trucking state,Vientiane pipeline transport and conversion costs,Vientiane trucking solar capacity,Vientiane trucking wind capacity,Vientiane trucking hydro capacity,Vientiane trucking electrolyzer capacity,Vientiane trucking battery capacity,Vientiane trucking H2 storage capacity,Vientiane trucking production cost,Ocean water costs,Freshwater costs,Lowest water cost,Vientiane trucking total cost,geometry,Vientiane trucking battery costs,Vientiane LCOH - trucking battery costs portion,Vientiane trucking electrolyzer costs,Vientiane LCOH - trucking electrolyzer portion,Vientiane trucking H2 storage costs,Vientiane LCOH - trucking H2 storage portion,Vientiane trucking wind costs,Vientiane LCOH - trucking wind portion,Vientiane trucking solar costs,Vientiane LCOH - trucking solar portion,Vientiane trucking hydro costs,Vientiane LCOH - trucking hydro portion
0,85414d57fffffff,135,563,738,590,661,392,0.0,0.0,0.0,10.5,0,221.0,2044.0,92,Laos,0.0,0.3470728339651986,NH3,0.8415648684913494,301.7040993558136,0.0,10.5,128.01983501603735,52.10294755864175,857.9892043665654,7.29035006939349,0.009849,0.005691,0.005691,7.643113903358689,"POLYGON ((103.46453415731271 19.04273848615606, 103.44104201809543 19.134827909727342, 103.34485783048741 19.16330743869943, 103.272190176572 19.099668508974013, 103.29574655634124 19.007551711053523, 103.39190643925204 18.979101163936935, 103.46453415731271 19.04273848615606))",994498.8088395246,0.1744734752350043,9774155.159877524,1.7147640631364076,2304515.4511167086,0.40430095633626467,0.0,0.0,26011528.922161784,4.56342612669505,2445509.8633114267,0.4290368181248117
1,85416b53fffffff,110,602,549,45,705,929,0.0,0.0,0.0,,1,53.0,367.0,92,Laos,0.0,0.3763123563164525,NH3,1.0089688248786177,367.0,0.0,0.0,137.74325275999135,65.9249319780898,1766.465863309827,8.454257643558822,0.009849,0.005691,0.005691,8.836260999875275,"POLYGON ((104.46562449030709 18.230857510365563, 104.44259708776852 18.32321885214335, 104.34718713024516 18.352094834495773, 104.27482562486274 18.288575767012986, 104.29791884388544 18.19618327223959, 104.39330783507414 18.16734094692448, 104.46562449030709 18.230857510365563))",1258321.63816158,0.22075818213361054,10516526.009690033,1.8450045631035146,4744637.642466759,0.8323925688538174,0.0,0.0,31641038.801978834,5.551059438943655,0.0,0.0
2,85414c07fffffff,408,496,244,234,603,473,11.131949,0.0,0.0,,2,86.0,1304.0,94,Other,0.0,0.38175319889280396,NH3,1.0755941001454836,378.1243424993157,0.0,0.0,133.85566717218217,56.98499330989236,1517.997555047246,8.423408603351996,0.009849,0.005691,0.005691,8.810852802244801,"POLYGON ((104.25779104913194 19.060768384375073, 104.23461679535319 19.152786942433426, 104.13883692573269 19.181629419571372, 104.06625314617358 19.11842167438019, 104.08949318256275 19.026372483571347, 104.18525130107768 18.997561619020775, 104.25779104913194 19.060768384375073))",1087683.3389249728,0.19082163840788996,10219713.685820136,1.79293222558248,4077264.3788058436,0.715309540141376,0.0,0.0,32600128.046304032,5.7193207098779,0.0,0.0
3,85414c07fffffff,408,496,244,234,603,473,11.131949,0.0,0.0,,2,86.0,1304.0,92,Laos,0.0,0.38175319889280396,NH3,1.0755941001454836,358.2061206999831,0.0,0.0,127.99934456970126,52.32890319160086,1626.8425371767703,8.079185860747197,0.009849,0.005691,0.005691,8.466630059640002,"POLYGON ((104.25779104913194 19.060768384375073, 104.23461679535319 19.152786942433426, 104.13883692573269 19.181629419571372, 104.06625314617358 19.11842167438019, 104.08949318256275 19.026372483571347, 104.18525130107768 18.997561619020775, 104.25779104913194 19.060768384375073))",998811.6667172002,0.17523011696792987,9772590.739787787,1.7144896034715416,4369616.475798948,0.7665993817191137,0.0,0.0,30882871.292028554,5.4180475950927285,0.0,0.0
4,8541496bfffffff,388,90,804,750,619,671,11.131949,0.0,0.0,,3,232.0,2394.0,92,Laos,0.0,0.3997629873322675,NH3,1.2961311025378406,333.1778852653609,0.0,0.0,131.4445587118475,45.37738401565815,1082.7922425852944,7.466757909998314,0.009849,0.005691,0.005691,7.8722118973305815,"POLYGON ((102.26097235524003 20.243631533495652, 102.23691715540762 20.33517132182632, 102.13979963856569 20.363087480750554, 102.0667658012852 20.299440708995046, 102.0908832373495 20.207877959955113, 102.18797237206779 20.179984887561115, 102.26097235524003 20.243631533495652))",866126.706191325,0.15195205371777631,10035628.554046204,1.7606365884291586,2908325.0006966647,0.5102324562625727,0.0,0.0,28725052.84916222,5.039482955993372,0.0,0.0
5,85414b53fffffff,536,271,380,193,0,0,22.263898,0.0,0.0,,4,64.0,884.0,94,Other,0.0,0.4418673882197806,NH3,1.6210705990046057,343.2181304060948,0.0,0.0,123.3928391511899,49.51933717445916,1900.9925404699543,7.9104589480303185,0.009849,0.005691,0.005691,8.3580173362501,"POLYGON ((103.13781329608486 21.001661467487885, 103.11404023777558 21.092749193380257, 103.01707847398073 21.12110634647957, 102.9439155450863 21.058350811430984, 102.96775300523103 20.967236369084052, 103.06468908584779 20.93890412350282, 103.13781329608486 21.001661467487885))",945184.9490682868,0.16582192088917314,9420889.781106608,1.6527876808958961,5105969.468700847,0.895784117315938,0.0,0.0,29590676.24447378,5.191346709556804,0.0,0.0
6,85414b53fffffff,536,271,380,193,0,0,22.263898,0.0,0.0,,4,64.0,884.0,92,Laos,0.0,0.4418673882197806,NH3,1.6210705990046057,334.313473767406,25.764682609727387,0.0,123.42005240490812,53.78386343066116,1559.5687865467155,8.413868500726071,0.009849,0.005691,0.005691,8.861426888945852,"POLYGON ((103.13781329608486 21.001661467487885, 103.11404023777558 21.092749193380257, 103.01707847398073 21.12110634647957, 102.9439155450863 21.058350811430984, 102.96775300523103 20.967236369084052, 103.06468908584779 20.93890412350282, 103.13781329608486 21.001661467487885))",1026582.7678247872,0.18010223996926092,9422967.479177488,1.653152189329384,4188922.596444147,0.7348987011305521,4469012.431907375,0.7840372687556799,28822958.02588236,5.056659302786379,0.0,0.0
7,85416b67fffffff,883,467,433,505,906,0,0.0,0.0,0.0,,5,601.0,2270.0,92,Laos,0.0,0.33770324380608785,NH3,0.7268305208736181,334.3134737674065,25.76468260972738,0.0,123.42005240490829,53.78386343065953,1559.5687865467075,8.413868500726071,0.009849,0.005691,0.005691,8.75726274453216,"POLYGON ((103.72432614459005 18.368422070158395, 103.70098863750367 18.46079333903107, 103.60514409597941 18.489356527151195, 103.53266051504848 18.42551746882218, 103.55606249333941 18.33311805427139, 103.65188366906361 18.304585791148348, 103.72432614459005 18.368422070158395))",1026582.7678247561,0.18010223996925545,9422967.4791775,1.653152189329386,4188922.596444126,0.7348987011305484,4469012.431907374,0.7840372687556797,28822958.0258824,5.056659302786386,0.0,0.0
8,854168dbfffffff,60,565,256,404,874,93,11.131949,0.0,0.0,,6,952.0,3873.0,92,Laos,0.0,0.43177309267803504,NH3,1.4974619465475303,346.7967175324568,0.0,0.0,129.8899538991158,58.3985113137304,1484.2812271896573,7.884968104925109,0.009849,0.005691,0.005691,8.322432197603145,"POLYGON ((105.52427574727345 17.136541271161747, 105.5017672297386 17.229187947470916, 105.40730325578798 17.258382998757913, 105.33536531387875 17.194892307475403, 105.35794104402771 17.102210593855542, 105.45238757954839 17.073054560390435, 105.52427574727345 17.136541271161747))",1114663.4242552316,0.19555498671144414,9916936.410363717,1.7398134053269678,3986704.0336321606,0.699421760286344,0.0,0.0,29899205.438265283,5.245474638292155,0.0,0.0
9,8564b047fffffff,755,908,667,0,0,0,0.0,0.0,0.0,,7,69.0,212.0,91,Other,0.0,0.33165529413497463,NH3,0.6527709784436525,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.82088245611801 17.81263913259082, 101.79684921014682 17.90534717732523, 101.70031017485364 17.933040934619232, 101.62783380964 17.868001566429445, 101.65192737507462 17.775273638998726, 101.748437083902 17.74760490690724, 101.82088245611801 17.81263913259082))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8564b047fffffff,755,908,667,0,0,0,0.0,0.0,0.0,,7,69.0,212.0,92,Laos,0.0,0.33165529413497463,NH3,0.6527709784436525,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.82088245611801 17.81263913259082, 101.79684921014682 17.90534717732523, 101.70031017485364 17.933040934619232, 101.62783380964 17.868001566429445, 101.65192737507462 17.775273638998726, 101.748437083902 17.74760490690724, 101.82088245611801 17.81263913259082))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,854061dbfffffff,893,176,939,0,0,0,11.131949,11.131949,0.0,,8,7.0,28.0,139,Other,0.0,0.5269782303109022,NH3,2.2819954333713897,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.0058312625574000005,0.0058312625574000005,,"POLYGON ((101.67909665241343 22.426072907026146, 101.65464490218642 22.516304875735123, 101.55658351435845 22.54383043573163, 101.48300466723587 22.481105815350627, 101.50751825738442 22.39085249141325, 101.60554895766278 22.36334508517162, 101.67909665241343 22.426072907026146))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,85414eabfffffff,666,733,886,701,714,564,11.131949,0.0,0.0,,9,137.0,1904.0,92,Laos,0.0,0.427613743327566,NH3,1.4465290640909527,346.5728636148203,0.0,0.0,120.1442622903705,63.05183539160015,1864.7759524850512,7.945958400114021,0.009849,0.005691,0.005691,8.379263143441587,"POLYGON ((104.55473728722565 19.988645334338262, 104.5316146142023 20.080186834533816, 104.4357071411506 20.109217099879494, 104.36294334472846 20.04667474469778, 104.38613275491088 19.955101120509255, 104.48201930852954 19.926101924116868, 104.55473728722565 19.988645334338262))",1203482.3005266222,0.21113724570642495,9172864.978680806,1.6092745576632994,5008693.551739217,0.8787181669717924,0.0,0.0,29879905.791142907,5.242088735288229,0.0,0.0
13,85416e27fffffff,874,93,348,547,502,456,0.0,0.0,0.0,,10,563.0,2915.0,92,Laos,0.0,0.42703338295749077,NH3,1.4394223211797892,339.68235498001326,0.0,0.0,129.23256347709682,53.43593811780977,1450.1247551337817,7.735752357809012,0.009849,0.005691,0.005691,8.168476740766504,"POLYGON ((105.45670175838438 17.41439384263265, 105.43414478376887 17.506952035949936, 105.3395556323586 17.536154906083823, 105.26754121825086 17.472761214386317, 105.29016541127837 17.380168131288812, 105.38473687669322 17.351003581054552, 105.45670175838438 17.41439384263265))",1019941.851611623,0.17893716694940753,9866745.469369095,1.7310079770822973,3894961.483483742,0.6833265760497793,0.0,0.0,29285838.077030376,5.1378663293035745,0.0,0.0
14,85414933fffffff,870,696,542,328,393,636,0.0,0.0,0.0,,11,236.0,1761.0,92,Laos,0.0,0.3800557773333596,NH3,1.0548084999273402,339.68235498001195,0.0,0.0,129.2325634770974,53.43593811781061,1450.1247551337965,7.73575235780901,0.009849,0.005691,0.005691,8.12149913514237,"POLYGON ((102.06546705183521 19.621413610713404, 102.04138597911982 19.713284226033007, 101.94438275751692 19.741107714279593, 101.8714895983829 19.677037230258833, 101.89563223259356 19.58514471585811, 101.9926065625088 19.557344528730365, 102.06546705183521 19.621413610713404))",1019941.8516116389,0.17893716694941034,9866745.46936914,1.7310079770823052,3894961.483483782,0.6833265760497863,0.0,0.0,29285838.077030264,5.137866329303555,0.0,0.0
15,85414973fffffff,192,276,90,804,914,573,0.0,0.0,0.0,,12,314.0,2210.0,92,Laos,0.0,0.3896364224093395,NH3,1.1721272987096678,334.7027463819225,0.0,0.0,129.84655073816455,55.701981796494486,1128.499682905232,7.524563609907228,0.009849,0.005691,0.005691,7.919891032316568,"POLYGON ((102.3330394690954 19.968721978513006, 102.30903350372607 20.060406382933927, 102.21203412201048 20.08836063897157, 102.1390689023676 20.024606706729664, 102.16313714775886 19.93289916141976, 102.26010842972117 19.904968633661557, 102.3330394690954 19.968721978513006))",1063194.255646805,0.1865253080082114,9913622.633014187,1.739232040879682,3031092.865271437,0.531770678117796,0.0,0.0,28856519.306265097,5.062547246713175,0.0,0.0
16,8541618ffffffff,631,726,672,384,386,641,0.0,0.0,0.0,,13,362.0,2496.0,94,Other,0.0,0.5199075922924482,NH3,2.1954126665147613,348.56750628852114,0.0,0.0,124.27453223463081,48.792830689632126,1876.0681759249287,7.989050040537514,0.009849,0.005691,0.005691,8.514648632829964,"POLYGON ((106.94837042297885 16.261388425227523, 106.92653272707243 16.35407379491692, 106.83324915409754 16.3836587123485, 106.76181616827931 16.320513033453537, 106.7837229337291 16.2277871635269, 106.87699368215156 16.198247428030438, 106.94837042297885 16.261388425227523))",931317.9824641135,0.16338911973054623,9488205.951291196,1.6645975353142448,5039023.890701783,0.8840392790704882,0.0,0.0,30051874.636468932,5.272258708152444,0.0,0.0
17,8541618ffffffff,631,726,672,384,386,641,0.0,0.0,0.0,,13,362.0,2496.0,92,Laos,0.0,0.5199075922924482,NH3,2.1954126665147613,346.8038114859106,0.0,0.0,125.07769518486337,41.32673553065859,2563.5782601197607,8.272266927822297,0.009849,0.005691,0.005691,8.797865520114746,"POLYGON ((106.94837042297885 16.261388425227523, 106.92653272707243 16.35407379491692, 106.83324915409754 16.3836587123485, 106.76181616827931 16.320513033453537, 106.7837229337291 16.2277871635269, 106.87699368215156 16.198247428030438, 106.94837042297885 16.261388425227523))",788811.2128821263,0.13838793208458355,9549526.443488788,1.6753555164015417,6885641.078612964,1.2080072067742043,0.0,0.0,29899817.046048637,5.245581937903269,0.0,0.0
18,856496bbfffffff,838,752,595,119,182,382,11.131949,0.0,0.0,,14,275.0,2535.0,92,Laos,0.0,0.42364361426694447,NH3,1.3979132591311512,330.3553667543718,0.0,0.0,121.47549383518593,63.52311691406254,2709.8338233141026,8.11838027513065,0.009849,0.005691,0.005691,8.547714889397596,"POLYGON ((101.45862254086813 20.218664768853483, 101.43426579173023 20.310228032054283, 101.3368309464809 20.33773650825105, 101.26378389679766 20.273661314863748, 101.2882010971319 20.182078340280746, 101.38560499780638 20.154590213529616, 101.45862254086813 20.218664768853483))",1212477.7400301055,0.2127153929877378,9274502.851211412,1.6271057633704231,7278476.097372871,1.2769256311180475,0.0,0.0,28481708.386694893,4.996790945034192,0.0,0.0
19,85649627fffffff,375,779,341,932,354,852,0.0,0.0,0.0,,15,319.0,2389.0,92,Laos,0.0,0.4428059132238106,NH3,1.6325632099119898,336.68403805957274,0.0,0.0,116.36324933277108,57.383462036412965,2523.3319905494927,8.037137426087641,0.009849,0.005691,0.005691,8.485634339311453,"POLYGON ((100.9220751209015 20.538691952804413, 100.89749451644676 20.630073166472112, 100.79976046355644 20.657290319064195, 100.72663983693658 20.59310815667455, 100.75127978513856 20.501709241010005, 100.84898112113699 20.47451013198257, 100.9220751209015 20.538691952804413))",1095288.9868288373,0.1921559626015504,8884189.34256196,1.5586297092213965,6777541.641460996,1.1890423932387713,0.0,0.0,29027337.09059907,5.092515279052469,0.0,0.0
20,85659637fffffff,913,708,690,875,451,264,0.0,0.0,0.0,160.0,16,229.0,1640.0,90,Other,0.0,0.5668881773062143,NH3,2.5800629715749612,315.8172415848615,0.0,5.102678539574783,122.8104572500106,56.929444439090176,1890.4652547196315,7.716442084138268,0.009849,0.005691,0.005691,8.289021261444482,"POLYGON ((106.84810120894873 14.486333246114357, 106.8263431369129 14.579455232692967, 106.7335171492828 14.608662195421672, 106.66246229253953 14.54469915823287, 106.6842885139552 14.45153818486975, 106.77710150892428 14.422379189898965, 106.84810120894873 14.486333246114357))",1086623.0671278164,0.1906356258118976,9376425.64737516,1.6449869556798529,5077693.713543938,0.8908234585164803,0.0,0.0,27228298.62485157,4.776894495587995,1188442.9236035882,0.2084987585269453
