,h3_index,n0,n1,n2,n3,n4,n5,waterbody_dist,waterway_dist,road_dist,hydro,index,theo_turbines,theo_pv,index_right_renamed,country,Vientiane road construction costs,Vientiane trucking transport and conversion costs,Vientiane trucking state,Vientiane pipeline transport and conversion costs,Vientiane trucking solar capacity,Vientiane trucking wind capacity,Vientiane trucking hydro capacity,Vientiane trucking electrolyzer capacity,Vientiane trucking battery capacity,Vientiane trucking H2 storage capacity,Vientiane trucking production cost,Vientiane pipeline solar capacity,Vientiane pipeline wind capacity,Vientiane pipeline hydro capacity,Vientiane pipeline electrolyzer capacity,Vientiane pipeline battery capacity,Vientiane pipeline H2 storage capacity,Vientiane pipeline production cost,Ocean water costs,Freshwater costs,Lowest water cost,Vientiane trucking total cost,geometry,Vientiane trucking battery costs,Vientiane LCOH - trucking battery costs portion,Vientiane trucking electrolyzer costs,Vientiane LCOH - trucking electrolyzer portion,Vientiane trucking H2 storage costs,Vientiane LCOH - trucking H2 storage portion,Vientiane trucking wind costs,Vientiane LCOH - trucking wind portion,Vientiane trucking solar costs,Vientiane LCOH - trucking solar portion,Vientiane trucking hydro costs,Vientiane LCOH - trucking hydro portion
0,85414d57fffffff,135,563,738,590,661,392,0.0,0.0,0.0,10.5,0,221.0,2044.0,92,Laos,0.0,0.3470728339651986,NH3,0.8415648684913494,294.3311325540259,0.0,10.5,127.62537873592758,31.129299535777335,803.9824552308653,6.814583902184746,292.69590235449306,0.0,10.5,129.31891318571107,21.54310194578344,772.2844555952051,6.758713728712375,0.009849,0.005691,0.005691,7.167347736149945,"POLYGON ((103.46453415731271 19.04273848615606, 103.44104201809543 19.134827909727342, 103.34485783048741 19.16330743869943, 103.272190176572 19.099668508974013, 103.29574655634124 19.007551711053523, 103.39190643925204 18.979101163936935, 103.46453415731271 19.04273848615606))",594170.8244719957,0.10424049552140276,8244956.003776852,1.4464835094345354,2159456.064338421,0.37885194111200365,0.0,0.0,25375865.90128694,4.4519062984713935,2445509.8633114267,0.4290368181248117
1,85416b53fffffff,110,602,549,45,705,929,0.0,0.0,0.0,,1,53.0,367.0,92,Laos,0.0,0.3763123563164525,NH3,1.0089688248786177,367.0,0.0,0.0,143.93791653173375,36.15896881132865,1817.2311828242264,8.16469369535603,367.0,0.0,0.0,147.5915258315702,15.885777819146192,1764.1835862855464,8.109274047804886,0.009849,0.005691,0.005691,8.546697051672483,"POLYGON ((104.46562449030709 18.230857510365563, 104.44259708776852 18.32321885214335, 104.34718713024516 18.352094834495773, 104.27482562486274 18.288575767012986, 104.29791884388544 18.19618327223959, 104.39330783507414 18.16734094692448, 104.46562449030709 18.230857510365563))",690173.0726703878,0.1210829952053312,9298791.516497701,1.6313669327188949,4880990.713818259,0.8563141603189928,0.0,0.0,31641038.801978834,5.551059438943655,0.0,0.0
2,85414c07fffffff,408,496,244,234,603,473,11.131949,0.0,0.0,,2,86.0,1304.0,94,Other,0.0,0.38175319889280396,NH3,1.0755941001454836,375.6228753316542,0.0,0.0,138.49722748016418,39.6941596354091,1599.6387306224808,8.14274642899495,374.32167435945695,0.0,0.0,139.2866054940754,35.40370920294199,1555.446389668024,8.092887037142468,0.009849,0.005691,0.005691,8.530190627887755,"POLYGON ((104.25779104913194 19.060768384375073, 104.23461679535319 19.152786942433426, 104.13883692573269 19.181629419571372, 104.06625314617358 19.11842167438019, 104.08949318256275 19.026372483571347, 104.18525130107768 18.997561619020775, 104.25779104913194 19.060768384375073))",757649.9281709612,0.1329210400299932,8947307.8045219,1.5697031236003334,4296548.432268221,0.7537804267137229,0.0,0.0,32384463.142451577,5.68148476183361,0.0,0.0
3,85414c07fffffff,408,496,244,234,603,473,11.131949,0.0,0.0,,2,86.0,1304.0,92,Laos,0.0,0.38175319889280396,NH3,1.0755941001454836,355.66869006533614,0.0,0.0,133.85733057480388,31.257029350525794,1705.1444468469824,7.809606352068832,353.67219873598606,0.0,0.0,136.71847033871188,19.834741637461082,1681.3561611773146,7.758604785534102,0.009849,0.005691,0.005691,8.197050550961636,"POLYGON ((104.25779104913194 19.060768384375073, 104.23461679535319 19.152786942433426, 104.13883692573269 19.181629419571372, 104.06625314617358 19.11842167438019, 104.08949318256275 19.026372483571347, 104.18525130107768 18.997561619020775, 104.25779104913194 19.060768384375073))",596608.8275902965,0.10466821536671869,8647557.502304096,1.5171153512814204,4579931.430542662,0.803496742200467,0.0,0.0,30664105.784758266,5.379667681536538,0.0,0.0
4,8541496bfffffff,388,90,804,750,619,671,11.131949,0.0,0.0,,3,232.0,2394.0,92,Laos,0.0,0.3997629873322675,NH3,1.2961311025378406,332.1617740032837,0.0,0.0,136.63729309506127,27.80947976720539,1103.570679058838,7.190172895568137,331.5767614275982,0.0,0.0,137.66579207258766,19.991151797145335,1044.5356302240662,7.135507568512016,0.009849,0.005691,0.005691,7.5956268829004046,"POLYGON ((102.26097235524003 20.243631533495652, 102.23691715540762 20.33517132182632, 102.13979963856569 20.363087480750554, 102.0667658012852 20.299440708995046, 102.0908832373495 20.207877959955113, 102.18797237206779 20.179984887561115, 102.26097235524003 20.243631533495652))",530804.7970185429,0.09312364859974437,8827150.847285239,1.548622955664077,2964134.82634439,0.5200236537446298,0.0,0.0,28637448.446245294,5.024113762499175,0.0,0.0
5,85414b53fffffff,536,271,380,193,0,0,22.263898,0.0,0.0,,4,64.0,884.0,94,Other,0.0,0.4418673882197806,NH3,1.6210705990046057,342.1322531811602,0.0,0.0,126.22781230135882,38.15501487057168,1939.72337614228,7.651932163026124,342.01245371384186,0.0,0.0,128.2330376811757,25.241568116208896,1888.232315841989,7.601644439298912,0.009849,0.005691,0.005691,8.099490551245905,"POLYGON ((103.13781329608486 21.001661467487885, 103.11404023777558 21.092749193380257, 103.01707847398073 21.12110634647957, 102.9439155450863 21.058350811430984, 102.96775300523103 20.967236369084052, 103.06468908584779 20.93890412350282, 103.13781329608486 21.001661467487885))",728271.9811068411,0.12776701422927036,8154669.307827319,1.4306437382153192,5209998.52732686,0.9140348293555896,0.0,0.0,29497056.943633612,5.174922270812915,0.0,0.0
6,85414b53fffffff,536,271,380,193,0,0,22.263898,0.0,0.0,,4,64.0,884.0,92,Laos,0.0,0.4418673882197806,NH3,1.6210705990046057,334.6001981162984,24.193761258330635,0.0,130.74416029634986,31.277003228737073,1619.2196495841883,8.151665245896133,333.20594401097406,24.46712892467292,0.0,131.01569819902335,28.120611396526915,1560.0592916557007,8.099587809717942,0.009849,0.005691,0.005691,8.599223634115914,"POLYGON ((103.13781329608486 21.001661467487885, 103.11404023777558 21.092749193380257, 103.01707847398073 21.12110634647957, 102.9439155450863 21.058350811430984, 102.96775300523103 20.967236369084052, 103.06468908584779 20.93890412350282, 103.13781329608486 21.001661467487885))",596990.0727792883,0.10473510048759443,8446438.005285956,1.4818312289975362,4349141.786665534,0.7630073309939532,4196528.304884198,0.7362330359445962,28847678.070156954,5.060996152659115,0.0,0.0
7,85416b67fffffff,883,467,433,505,906,0,0.0,0.0,0.0,,5,601.0,2270.0,92,Laos,0.0,0.33770324380608785,NH3,0.7268305208736181,334.6001981162985,24.1937612583306,0.0,130.74416029634992,31.277003228736998,1619.2196495841874,8.151665245896133,333.20594401097435,24.467128924672732,0.0,131.0156981990234,28.120611396527135,1560.0592916557016,8.099587809717944,0.009849,0.005691,0.005691,8.495059489702221,"POLYGON ((103.72432614459005 18.368422070158395, 103.70098863750367 18.46079333903107, 103.60514409597941 18.489356527151195, 103.53266051504848 18.42551746882218, 103.55606249333941 18.33311805427139, 103.65188366906361 18.304585791148348, 103.72432614459005 18.368422070158395))",596990.0727792869,0.10473510048759418,8446438.00528596,1.4818312289975368,4349141.786665532,0.7630073309939529,4196528.304884192,0.736233035944595,28847678.07015696,5.060996152659116,0.0,0.0
8,854168dbfffffff,60,565,256,404,874,93,11.131949,0.0,0.0,,6,952.0,3873.0,92,Laos,0.0,0.43177309267803504,NH3,1.4974619465475303,345.2780924962636,0.0,0.0,138.4391970328414,30.239964481669517,1509.6722490411348,7.608737571581355,345.3795359754752,0.0,0.0,137.40506059308873,27.071821040969372,1457.629578669423,7.559743133274692,0.009849,0.005691,0.005691,8.04620166425939,"POLYGON ((105.52427574727345 17.136541271161747, 105.5017672297386 17.229187947470916, 105.40730325578798 17.258382998757913, 105.33536531387875 17.194892307475403, 105.35794104402771 17.102210593855542, 105.45238757954839 17.073054560390435, 105.52427574727345 17.136541271161747))",577195.9181872021,0.10126244178722843,8943558.875509545,1.5690454167560606,4054903.0294686775,0.7113864963980135,0.0,0.0,29768276.627104938,5.222504671421919,0.0,0.0
9,8564b047fffffff,755,908,667,0,0,0,0.0,0.0,0.0,,7,69.0,212.0,91,Other,0.0,0.33165529413497463,NH3,0.6527709784436525,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.82088245611801 17.81263913259082, 101.79684921014682 17.90534717732523, 101.70031017485364 17.933040934619232, 101.62783380964 17.868001566429445, 101.65192737507462 17.775273638998726, 101.748437083902 17.74760490690724, 101.82088245611801 17.81263913259082))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
